file,reference,module1_score,module2_score,label
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0000.flac,chapter one missus rachel lynde is surprised missus rachel lynde lived just where the avonlea main road dipped down into a little hollow fringed with alders and ladies eardrops and traversed by a brook,100.0,95.61,1
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0000.flac_aug,chapter one missus rachel lynde is surprised missus rachel lynde lived just where the avonlea main road dipped down into a little hollow fringed with alders and ladies eardrops and traversed by a brook,40.68,0.0,0
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0001.flac,that had its source away back in the woods of the old cuthbert place it was reputed to be an intricate headlong brook in its earlier course through those woods with dark secrets of pool and cascade but by the time it reached lynde's hollow it was a quiet well conducted little stream,100.0,96.15,1
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0001.flac_aug,that had its source away back in the woods of the old cuthbert place it was reputed to be an intricate headlong brook in its earlier course through those woods with dark secrets of pool and cascade but by the time it reached lynde's hollow it was a quiet well conducted little stream,31.71,0.25,0
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0002.flac,for not even a brook could run past missus rachel lynde's door without due regard for decency and decorum it probably was conscious that missus rachel was sitting at her window keeping a sharp eye on everything that passed from brooks and children up,100.0,97.14,1
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0002.flac_aug,for not even a brook could run past missus rachel lynde's door without due regard for decency and decorum it probably was conscious that missus rachel was sitting at her window keeping a sharp eye on everything that passed from brooks and children up,89.19,51.57,0
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0003.flac,and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof there are plenty of people in avonlea and out of it who can attend closely to their neighbor's business by dint of neglecting their own,100.0,90.83,1
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0003.flac_aug,and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof there are plenty of people in avonlea and out of it who can attend closely to their neighbor's business by dint of neglecting their own,68.29,0.25,0
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0004.flac,but missus rachel lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain she was a notable housewife her work was always done and well done she ran the sewing circle,100.0,95.02,1
E:\UMD\Data_641_PCS1\NLP_project\PronounceAI\librispeech\LibriSpeech\train-clean-100\103\1240\103-1240-0004.flac_aug,but missus rachel lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain she was a notable housewife her work was always done and well done she ran the sewing circle,52.31,10.94,0
